INDEX,ZIP,START_TIME,LATITUDE,LONGITUDE,DISTANCE_TO_FREEWAY,Elevation,SOUND_SCORE,NEAREST_ROAD,AVG_DB
205,92120,01:57,32.796313,-117.0896821,1.346870059,60.62158966,78,25.72647618,61
206,92120,02:34,32.8071486,-117.0680306,2.559053113,102.4620361,77,26.26231881,50
207,92120,02:26,32.7967874,-117.0760754,1.481557065,104.2518005,75,26.39191695,70
208,92120,02:16,32.7836893,-117.0899119,0.134687006,64.60368347,71,15.68922658,66
209,92120,02:07,32.7820286,-117.0821434,0,36.72068024,69,25.10841296,62
210,92121,02:23,32.9139378,-117.1910453,1.81827458,110.5337753,80,23.65247962,55
211,92122,01:21,32.8644791,-117.2267208,0.202030509,96.52580261,72,26.43236915,58
212,92122,01:03,32.8694982,-117.2256061,0.202030509,102.0859604,71,16.90966025,57
213,92122,12:49,32.8624665,-117.2256433,0.269374012,91.48577118,72,13.16838327,57
214,92122,02:17,32.8538731,-117.1930356,0.538748024,113.2121201,80,25.95025478,51
215,92122,01:10,32.868799,-117.223007,0.404061018,104.6002502,71,18.02095397,70
216,92122,12:53,32.8625935,-117.2253086,0.269374012,91.37835693,73,11.2840501,64
217,92122,01:15,32.868799,-117.223007,0.404061018,104.6002502,71,18.02095397,71
218,92122,12:44,32.8600103,-117.2210683,0.538748024,85.4108963,81,21.75429299,54
219,92122,01:32,32.8611637,-117.1980205,0.404061018,112.7464676,82,28.86021888,53
220,92123,04:00,32.8056352,-117.1254872,0.808122036,114.7217865,72,20.05425415,58
221,92123,12:24,32.7825367,-117.1518536,0.336717515,73.52442169,74,21.89048919,58
222,92123,01:00,32.8265678,-117.1372834,0.202030509,131.3277435,70,16.29279088,72
223,92123,12:27,32.7810762,-117.1503035,0.336717515,74.20415497,74,27.42170792,50
224,92123,03:52,32.8030793,-117.1179038,0.134687006,81.21832275,67,13.18974347,56
225,92123,12:15,32.7963897,-117.1446511,0.202030509,121.5778809,70,20.46121626,53
226,92123,12:20,32.7889623,-117.1463924,0.067343503,117.3586273,68,21.02320472,65
227,92123,03:57,32.8000184,-117.1180007,0.134687006,72.8469696,69,7.79595412,62
228,92123,12:07,32.804448,-117.129667,1.077496048,117.4030533,70,35.64491603,53
229,92124,12:51,32.8364734,-117.1059077,0.336717515,126.0684128,75,22.35765566,57
230,92124,01:05,32.8188509,-117.0940029,1.481557065,94.25817871,78,30.71475278,50
231,92124,12:49,32.8365683,-117.1074245,0.336717515,129.4175262,75,21.70901129,57
232,92124,01:09,32.8180628,-117.0868781,2.087648592,97.962677,81,18.7632128,60
233,92124,12:59,32.8240156,-117.1037015,0.740778533,126.4300842,72,19.34491222,54
234,92124,01:17,32.8415997,-117.0851777,0.067343503,143.1591187,73,18.05041644,58
235,92126,01:33,32.9007235,-117.117674,0,139.3315277,63,20.47461674,62
236,92126,02:21,32.8983622,-117.1539338,2.761083622,127.6266327,87,21.21173793,58
237,92126,01:40,32.902126,-117.1231885,0.336717515,132.7560272,70,16.98667128,66
238,92126,02:14,32.9050255,-117.1379876,1.481557065,136.6264191,77,31.20025966,52
239,92126,01:50,32.915384,-117.127303,0.606091527,146.2288513,71,24.19235576,55
240,92126,02:03,32.9186,-117.12607,0.471404521,143.4805756,70,30.06103933,57
241,92126,01:44,32.9052265,-117.1235686,0.269374012,143.3755493,70,5.395611492,65
242,92126,02:08,32.9177012,-117.1353681,1.346870059,134.1263123,76,19.11458371,69
243,92127,03:30,33.009789,-117.12426,3.030457634,169.1651611,88,53.61859468,44
244,92127,03:54,33.0092968,-117.1056779,1.548900568,191.6043549,80,22.94088081,44
245,92127,03:25,33.0122689,-117.1277851,3.299831646,165.9807434,90,20.86619136,53
246,92127,01:10,33.0193536,-117.1295693,3.63654916,163.0897827,84,60,57
247,92127,12:56,33.0262441,-117.1115467,2.357022604,160.4187469,80,16.65283526,54
248,92127,12:44,33.0431438,-117.0888317,0.875465539,121.3246307,88,22.88480483,53
249,92127,01:07,33.0193536,-117.1295693,3.63654916,163.0897827,84,60,54
250,92127,03:36,33.0131745,-117.1164331,2.626396616,184.3634186,80,12.43267105,52
251,92127,03:11,32.9920633,-117.1602521,2.895770628,113.402359,76,13.19113949,59
252,92127,01:24,33.0034067,-117.0893023,0.404061018,206.1990204,70,5.104648879,55
253,92127,12:40,33.038925,-117.0846716,0.471404521,143.9933777,75,27.94475241,61
254,92127,03:44,33.0073911,-117.1091252,2.020305089,167.5029755,83,24.31497813,54
255,92127,01:00,33.0224358,-117.1085171,2.020305089,174.9930267,76,7.419351834,53
256,92127,12:54,33.0266433,-117.1114233,2.289679101,160.0211639,81,15.9247342,53
257,92127,12:35,33.0264515,-117.0890845,0.606091527,180.4450989,77,23.26963757,64
258,92127,12:28,33.0066432,-117.085937,0.202030509,222.0329132,70,23.50189081,70
259,92127,01:18,33.035679,-117.156344,5.656854249,52.37819672,85,23.67067962,56
260,92127,03:49,33.0045656,-117.1099755,2.087648592,147.0689087,81,27.20023391,52
261,92128,01:47,33.033808,-117.0753975,0.067343503,163.0637665,68,47.90467249,67
262,92128,02:39,32.9922759,-117.068984,1.010152545,226.859848,73,9.477092132,52
263,92128,02:10,33.0130995,-117.0560086,1.750931077,162.8010559,75,2.069093936,64
264,92128,02:22,33.0087744,-117.0686052,0.740778533,208.5644836,73,15.6201676,59
265,92128,02:27,33.0016495,-117.0712945,0.67343503,244.0699768,80,60,55
266,92128,02:14,33.0114766,-117.0653182,1.077496048,165.6030884,79,24.21475932,55
267,92128,01:55,33.0406542,-117.0509827,1.616244071,177.3652802,83,14.03498302,48
268,92128,02:04,33.021032,-117.066942,0.875465539,140.046051,69,40.92992701,69
269,92128,02:32,32.9993593,-117.0716106,0.67343503,251.6655273,79,10.8422789,57
270,92128,02:53,32.9712569,-117.0842119,0.202030509,185.7111816,71,27.5747743,60
271,92128,02:49,32.9737833,-117.0695476,1.010152545,199.8804932,72,29.11688937,53
272,92129,03:48,32.960583,-117.1591263,0,111.8104935,71,17.7287317,51
273,92129,03:30,32.9755612,-117.1363791,1.616244071,152.9886169,79,21.5934571,50
274,92129,03:07,32.9649021,-117.0984117,0.067343503,175.7052307,67,7.962670386,59
275,92129,02:58,32.9955752,-117.091199,0.471404521,199.5535278,72,19.17258077,68
276,92129,03:15,32.958427,-117.1108158,0,176.4457092,69,30.18828118,72
277,92129,03:59,32.941104,-117.1638593,1.279526556,121.5276337,84,29.72541539,49
278,92129,03:22,32.955789,-117.1248667,0,180.2003784,68,20.9603757,64
279,92129,03:37,32.9586522,-117.1458,0.134687006,128.0112915,73,21.96309101,51
280,92130,01:27,32.938538,-117.2369946,0.134687006,35.09909439,72,20.36487074,55
281,92130,03:20,32.9332918,-117.1857305,1.481557065,109.40065,79,60,47
282,92130,01:49,32.9655949,-117.2110448,1.14483955,54.61195755,82,33.62845434,61
283,92130,02:01,32.9626662,-117.1936789,0.471404521,84.08106232,75,21.6054711,51
284,92130,03:25,32.9442272,-117.1798264,0.875465539,105.9705429,89,40.37770349,47
